#;meas;ticks;xH;yH;zH;xL;yL;zL;magni;temp;vibr;
#;anal;ticks;fsm_sensorpack;xMean;yMean;zMean;vibrMean;tempMean;
>;tris;490490;10074.375040;0.073067;2.168719;12.167485;0.001745;0.009913;584
>;tris;492993;10076.312450;0.072711;2.172266;14.514718;0.002418;0.009340;584
>;anal;495488;1;-437;587;10034;272;584
>;tris;495495;10074.855505;0.071994;2.175678;15.455534;0.001925;0.013565;584
>;anal;497928;0;-418;599;10047;274;583
>;tris;497998;10073.419057;0.071995;2.181289;12.955360;0.000943;0.012786;583
>;tris;500500;10070.536511;0.072689;2.181040;7.995116;0.000837;0.014524;584
>;tris;503003;10069.674406;0.072441;2.168970;7.894737;0.000948;0.016976;584
>;tris;505505;10070.952437;0.072938;2.158007;7.907201;0.001745;0.011931;584
>;tris;508008;10075.290880;0.073519;2.162688;8.847788;0.001713;0.012767;583
>;anal;510443;2;-400;606;10068;272;583
>;tris;510510;10072.633731;0.073624;2.178397;11.526872;0.001219;0.021403;583
>;tris;513013;10069.283210;0.073976;2.177579;9.778904;0.000876;0.023699;583
>;anal;515527;0;-416;609;10046;274;582
>;tris;515515;10068.519013;0.074053;2.170218;9.192518;0.000971;0.013642;582
>;tris;518018;10070.241246;0.074181;2.170538;9.519847;0.001139;0.013571;583
>;tris;520520;10076.432300;0.073637;2.168350;7.576941;0.001026;0.013812;583
>;tris;523023;10078.364786;0.073914;2.179382;6.407410;0.001132;0.015735;582
>;tris;525525;10073.728146;0.074896;2.182298;9.330257;0.001209;0.013815;582
>;tris;528028;10070.365061;0.074585;2.176615;9.804762;0.001252;0.008339;582
>;tris;530530;10069.151080;0.074303;2.177664;8.601847;0.001263;0.008182;582
>;tris;533033;10067.617179;0.074209;2.178071;7.544300;0.001294;0.011039;582
>;tris;535535;10069.101810;0.073760;2.181559;6.738733;0.000816;0.010996;582
>;tris;538038;10067.809974;0.073912;2.182661;7.555151;0.000690;0.010122;582
>;tris;540540;10068.217730;0.073625;2.182255;8.148846;0.000647;0.009438;581
>;tris;543043;10075.067685;0.073585;2.183909;7.393035;0.000711;0.011126;581
>;tris;545545;10071.886224;0.074314;2.184970;9.164833;0.001274;0.014161;581
>;tris;548048;10070.678616;0.075474;2.193485;9.948818;0.001321;0.013526;581
>;tris;550550;10076.298514;0.075668;2.194300;11.204169;0.001043;0.011746;581
>;tris;553053;10071.687205;0.075200;2.186034;10.578364;0.000788;0.009550;581
>;tris;555555;10064.178183;0.074416;2.182274;6.315407;0.000952;0.009098;580
>;tris;558058;10063.911611;0.074218;2.185948;9.384942;0.001161;0.010740;581
>;tris;560560;10063.698723;0.073791;2.179549;9.116728;0.001540;0.016172;581
>;tris;563063;10063.003327;0.073401;2.175536;8.713368;0.001232;0.012884;581
>;tris;565568;10060.913059;0.073968;2.181732;10.225604;0.000778;0.009083;581
>;tris;568070;10057.652455;0.073981;2.181493;5.771554;0.000540;0.008435;580
>;tris;570573;10064.523317;0.073888;2.183342;7.416465;0.000735;0.008729;580
>;tris;573075;10068.138573;0.074054;2.177681;7.957457;0.000951;0.009644;581
>;tris;575578;10067.169218;0.074207;2.173729;9.252008;0.000803;0.009771;581
>;tris;578080;10066.254507;0.074194;2.178447;8.667520;0.000520;0.010361;580
>;tris;580583;10068.605012;0.074251;2.184831;7.452203;0.000677;0.008142;580
>;tris;583085;10068.518024;0.073919;2.191270;10.992524;0.000786;0.009501;581
>;tris;585588;10063.104441;0.073490;2.189517;10.458610;0.000654;0.009933;580
>;tris;588090;10064.217227;0.073691;2.187036;5.963392;0.000814;0.008892;580
>;anal;590587;2;-408;591;10055;269;580
>;tris;590593;10063.709986;0.074004;2.185482;13.931823;0.001091;0.020286;580
>;anal;593027;0;-416;605;10042;274;580
>;tris;593095;10065.768601;0.073534;2.179454;14.906640;0.001254;0.019699;580
>;tris;595598;10071.116831;0.072552;2.173707;8.746798;0.000701;0.009216;580
>;tris;598100;10069.439210;0.073157;2.172378;10.027384;0.001048;0.014491;579
>;tris;600603;10064.682539;0.073806;2.181912;8.407894;0.000660;0.016366;580
>;tris;603105;10067.453294;0.073835;2.188766;11.291558;0.000927;0.013169;580
>;tris;605608;10069.865634;0.074217;2.180122;11.161461;0.001047;0.019604;579
>;tris;608110;10065.692493;0.073757;2.173647;7.651722;0.001104;0.015676;579
>;tris;610613;10067.234339;0.073513;2.170795;6.663088;0.000930;0.011728;579
>;tris;613115;10066.741415;0.073715;2.172948;9.407182;0.000816;0.011047;579
>;tris;615618;10064.669505;0.073411;2.177532;9.438032;0.000632;0.005899;579
>;tris;618120;10064.474720;0.073446;2.173859;6.870974;0.000561;0.006858;579
>;tris;620623;10067.802512;0.073031;2.170580;7.108105;0.001100;0.007662;579
>;tris;623125;10065.459959;0.072709;2.168425;7.362880;0.001095;0.009299;578
